1,Package.Name,bugs,majorBugs,criticalBugs,highPriorityBugs,nonTrivialBugs,N,A,Ce,Ca,I,D,Rsw,PackageName,IC,AC,BCFI,SAVI,NPPI,PPI,MMI,PackageName,IPCI,IIPUD,IIPED,PF,IPSC
2,buddy.dependent.a.test1,0,0,0,0,0,1,0,0,0,0,1,0,buddy.dependent.a.test1,1,1,1,1,1,0,0,buddy.dependent.a.test1,1,1,1,0,0
3,buddy.dependent.a.test2,0,0,0,0,0,1,0,0,0,0,1,0,buddy.dependent.a.test2,1,1,1,1,1,0,0,buddy.dependent.a.test2,1,1,1,0,0
4,buddy.registered.a.test1,0,0,0,0,0,1,0,0,0,0,1,0,buddy.registered.a.test1,1,1,1,1,1,0,0,buddy.registered.a.test1,1,1,1,0,0
5,buddy.registered.a.test2,0,0,0,0,0,1,0,0,0,0,1,0,buddy.registered.a.test2,1,1,1,1,1,0,0,buddy.registered.a.test2,1,1,1,0,0
6,chain.test,0,0,0,0,0,2,0,4,0,0,1,0,chain.test,1,0.5,1,1,1,1,0,chain.test,1,0.5,1,0,0
7,chain.test.a,0,0,0,0,0,4,1,5,1,0.833333333,0.833333333,0,chain.test.a,0.75,0.75,1,1,1,0,0,chain.test.a,0.991803279,0.6,0.666666667,0,0
8,chain.test.b,0,0,0,0,0,4,1,5,2,0.714285714,0.714285714,0,chain.test.b,0.991735537,0.75,1,1,1,0,0,chain.test.b,0.983606557,0.6,0.75,0,0
9,chain.test.c,0,0,0,0,0,3,2,3,2,0.6,1.6,0,chain.test.c,0.983471074,0.666666667,1,1,1,0,0,chain.test.c,0.983606557,0.6,1,0,0
10,chain.test.d,0,0,0,0,0,2,1,3,1,0.75,0.75,0,chain.test.d,0.991735537,0.5,1,1,1,0,0,chain.test.d,0.991803279,0.6,1,0,0
11,circularity.test,0,0,0,0,0,2,0,4,0,0,1,0,circularity.test,1,0.5,1,1,1,0,0,circularity.test,1,0.444444444,1,0,0
12,circularity.test.a,0,0,0,0,0,2,1,3,1,0.75,0.75,0,circularity.test.a,1,0.5,1,1,1,0,0,circularity.test.a,0.991803279,0.571428571,1,0,0
13,client1.multiple.exports,0,0,0,0,0,1,0,3,0,0,1,0,client1.multiple.exports,1,0,1,1,1,0,0,client1.multiple.exports,1,0.625,1,0,0
14,client2.multiple.exports,0,0,0,0,0,1,0,3,0,0,1,0,client2.multiple.exports,1,0,1,1,1,0,0,client2.multiple.exports,1,0.625,1,0,0
15,exporter.importer,0,0,0,0,0,1,0,3,0,0,1,0,exporter.importer,1,0,1,1,1,0,0,exporter.importer,1,0.666666667,1,0,0
16,exporter.importer.test,0,0,0,0,0,3,0,0,1,0,1,0,exporter.importer.test,1,0.991735537,1,1,1,0,0,exporter.importer.test,0.991803279,1,1,0,0
17,ext.extclasspath.a,0,0,0,0,0,1,0,1,1,0.5,0.5,0,ext.extclasspath.a,1,0.991735537,1,1,1,0,0,ext.extclasspath.a,0.991803279,1,1,0,0
18,ext.extclasspath.a.importer,0,0,0,0,0,1,0,6,0,0,1,0,ext.extclasspath.a.importer,1,0,1,1,1,0,0,ext.extclasspath.a.importer,1,0.466666667,1,0,0
19,ext.framework.a,0,0,0,0,0,1,0,1,1,0.5,0.5,0,ext.framework.a,1,0.991735537,1,1,1,0,0,ext.framework.a,0.991803279,1,1,0,0
20,ext.framework.a.importer,0,0,0,0,0,1,0,6,0,0,1,0,ext.framework.a.importer,1,0,1,1,1,0,0,ext.framework.a.importer,1,0.466666667,1,0,0
21,fragment.test.attach.host.a,0,0,0,0,0,1,0,3,0,0,1,0,fragment.test.attach.host.a,1,0,1,1,1,0,0,fragment.test.attach.host.a,1,0.6,1,0,0
22,host.multiple.exports,0,0,0,0,0,4,0,0,0,0,1,0,host.multiple.exports,1,1,1,1,1,0,0,host.multiple.exports,1,1,1,0,0
23,host.multiple.exports.onlyone,0,0,0,0,0,1,0,0,0,0,1,0,host.multiple.exports.onlyone,1,1,1,1,1,0,0,host.multiple.exports.onlyone,1,1,1,0,0
24,legacy.lazystart,0,0,0,0,0,5,0,7,0,0,1,0,legacy.lazystart,1,0,1,1,1,1,0,legacy.lazystart,1,0.234375,1,0,0
