,Package.Name,bugs,majorBugs,criticalBugs,highPriorityBugs,nonTrivialBugs,N,A,Ce,Ca,I,D,Rsw,PackageName,IC,AC,BCFI,SAVI,NPPI,PPI,MMI,ackageName,IPCI,IIPUD,IIPED,PF,IPSC
1,org.eclipse.jdt.core,11,1,1,0,1,71,3.176470588,29,20,0.591836735,2.768307323,1.75,org.eclipse.jdt.core,0.955555556,0.488888889,0.928571429,0.927441208,0.986348123,0,0.339293316,org.eclipse.jdt.core,0.456521739,0.060846561,1,0,0
2,org.eclipse.jdt.core.compiler,1,0,0,0,0,10,1.5,9,33,0.214285714,0.714285714,0.1,org.eclipse.jdt.core.compiler,0.9,0.2,1,0.854901704,0.967741935,0,0,org.eclipse.jdt.core.compiler,0.217391304,0.19047619,1,0,0
3,org.eclipse.jdt.core.compiler.batch,0,0,0,0,0,1,0,3,0,0,1,0,org.eclipse.jdt.core.compiler.batch,1,0,1,1,1,0,0,org.eclipse.jdt.core.compiler.batch,1,0.75,1,0,0
4,org.eclipse.jdt.core.dom,9,0,0,0,3,134,0.196428571,18,5,0.782608696,0.020962733,1.35,org.eclipse.jdt.core.dom,0.933333333,0.776119403,0.975225225,0.923167175,0.890898813,0,0.054545455,org.eclipse.jdt.core.dom,0.826086957,0.063263041,0.666666667,0,0
5,org.eclipse.jdt.core.dom.rewrite,1,0,0,0,0,5,0.25,6,2,0.75,0,0.1,org.eclipse.jdt.core.dom.rewrite,1,0.2,1,1,0.987951807,0,0,org.eclipse.jdt.core.dom.rewrite,0.934782609,0.219512195,1,0,0
6,org.eclipse.jdt.core.formatter,2,0,0,0,1,4,0.333333333,10,6,0.625,0.041666667,0.35,org.eclipse.jdt.core.eval,1,1,1,1,1,0,0,org.eclipse.jdt.core.eval,0.934782609,0.555555556,1,0,0
7,org.eclipse.jdt.core.jdom,0,0,0,0,0,12,5,4,0,0,4,0,org.eclipse.jdt.core.formatter,0.977777778,0,1,0.819897343,1,0,0.076923077,org.eclipse.jdt.core.formatter,0.869565217,0.285714286,1,0,0
8,org.eclipse.jdt.core.search,8,0,0,0,0,27,0.928571429,9,9,0.5,0.428571429,0.8,org.eclipse.jdt.core.jdom,1,0.916666667,1,0.978713768,0.75,0,0.314285714,org.eclipse.jdt.core.jdom,0.97826087,0.466666667,1,0,0
9,org.eclipse.jdt.core.util,2,0,0,0,0,44,10,5,3,0.625,9.625,0.2,org.eclipse.jdt.core.search,0.777777778,0.822222222,0.882352941,0.960778971,0.984375,0,0.004716981,org.eclipse.jdt.core.search,0.782608696,0.12962963,0.666666667,0,0
10,org.eclipse.jdt.internal.antadapter,0,0,0,0,0,1,0,4,1,0.8,0.2,0,org.eclipse.jdt.core.util,0.977777778,0.933333333,1,0.943425423,1,0,0.375457875,org.eclipse.jdt.core.util,0.913043478,0.428571429,1,0,0
