,Package.Name,bugs,majorBugs,criticalBugs,highPriorityBugs,nonTrivialBugs,N,A,Ce,Ca,I,D,Rsw,PackageName,IC,AC,BCFI,SAVI,NPPI,PPI,MMI,PackageName,IPCI,IIPUD,IIPED,PF,IPSC
1,com.sleepycat.db,0,0,0,0,0,7,0,0,1,0,1,0,com.sleepycat.db,1,0.985915493,1,1,1,0,0,com.sleepycat.db,0.986111111,1,1,0,1
2,lucli,0,0,0,0,0,2,0,10,0,0,1,0,lucli,1,0,1,1,0.9375,0,0,lucli,1,0.210526316,1,0,0
3,org.apache.lucene,0,0,0,0,0,13,0,12,0,0,1,0,org.apache.lucene,0.538461538,0.076923077,1,1,0.967032967,0,0,org.apache.lucene,1,0.136507937,1,0,0
4,org.apache.lucene.analysis,6,0,0,0,0,40,0.142857143,10,51,0.163934426,0.693208431,0.6,org.apache.lucene.analysis,0.661971831,0.281690141,0.9171875,0.964809028,0.967032967,0,0.059782609,org.apache.lucene.analysis,0.291666667,0.183673469,1,0,1
6,org.apache.lucene.analysis.br,0,0,0,0,0,3,0,5,0,0,1,0,org.apache.lucene.analysis.br,0.333333333,0.333333333,1,1,1,0,0,org.apache.lucene.analysis.br,1,0.571428571,1,0,0
7,org.apache.lucene.analysis.cjk,0,0,0,0,0,2,0,4,0,0,1,0,org.apache.lucene.analysis.cjk,0,0,1,1,1,0.4,0,org.apache.lucene.analysis.cjk,1,1,1,0,0
8,org.apache.lucene.analysis.cn,0,0,0,0,0,4,0,5,0,0,1,0,org.apache.lucene.analysis.cn,0.25,0,1,1,0.928571429,0.333333333,0,org.apache.lucene.analysis.cn,1,1,1,0,0
9,org.apache.lucene.analysis.compound,0,0,0,0,0,4,0.333333333,9,0,0,0.666666667,0,org.apache.lucene.analysis.compound,0.75,0,1,0.890625,1,0,0,org.apache.lucene.analysis.compound,1,0.571428571,1,0,0
10,org.apache.lucene.analysis.compound.hyphenation,0,0,0,0,0,10,0.111111111,7,1,0.875,0.013888889,0,org.apache.lucene.analysis.compound.hyphenation,1,0.985915493,1,0.97,1,0,0,org.apache.lucene.analysis.compound.hyphenation,0.986111111,1,1,0,1
11,org.apache.lucene.analysis.cz,0,0,0,0,0,1,0,5,0,0,1,0,org.apache.lucene.analysis.cz,0,0,1,1,1,0.166666667,0,org.apache.lucene.analysis.cz,1,0.583333333,1,0,0
12,org.apache.lucene.analysis.de,0,0,0,0,0,4,0,6,0,0,1,0,org.apache.lucene.analysis.de,0.5,0.25,1,1,0.916666667,0.136363636,0,org.apache.lucene.analysis.de,1,0.5625,1,0,0
13,org.apache.lucene.analysis.el,0,0,0,0,0,4,0,6,0,0,1,0,org.apache.lucene.analysis.el,0.5,0.25,1,0.963541667,1,0.181818182,0,org.apache.lucene.analysis.el,1,0.6,1,0,0
14,org.apache.lucene.analysis.fr,0,0,0,0,0,6,0,6,0,0,1,0,org.apache.lucene.analysis.fr,0.5,0.166666667,1,1,0.98,0.073170732,0,org.apache.lucene.analysis.fr,1,0.55,1,0,0
15,org.apache.lucene.analysis.miscellaneous,0,0,0,0,0,8,0,5,1,0.833333333,0.166666667,0,org.apache.lucene.analysis.miscellaneous,0.5,0,0.75,1,0.814814815,0,0,org.apache.lucene.analysis.miscellaneous,0.986111111,0.625,1,0,1
16,org.apache.lucene.analysis.ngram,2,0,0,0,0,8,0,5,0,0,1,0.2,org.apache.lucene.analysis.ngram,0.5,0,1,1,0.84,0,0,org.apache.lucene.analysis.ngram,1,1,1,0,0
17,org.apache.lucene.analysis.nl,0,0,0,0,0,4,0,5,0,0,1,0,org.apache.lucene.analysis.nl,0.5,0.5,1,1,1,0.128205128,0,org.apache.lucene.analysis.nl,1,0.583333333,1,0,0
18,org.apache.lucene.analysis.payloads,0,0,0,0,0,7,0,5,1,0.833333333,0.166666667,0,org.apache.lucene.analysis.payloads,0.571428571,0.142857143,1,1,0.888888889,0,0,org.apache.lucene.analysis.payloads,0.986111111,0.666666667,1,0,1
19,org.apache.lucene.analysis.query,0,0,0,0,0,2,0,10,0,0,1,0,org.apache.lucene.analysis.query,0.5,0,1,1,1,0.055555556,0,org.apache.lucene.analysis.query,1,0.215686275,1,0,0
20,org.apache.lucene.analysis.ru,0,0,0,0,0,8,0,5,0,0,1,0,org.apache.lucene.analysis.ru,0.5,0.5,1,0.95703125,0.952380952,0.113636364,0,org.apache.lucene.analysis.ru,1,1,1,0,0
21,org.apache.lucene.analysis.shingle,0,0,0,0,0,6,0,13,0,0,1,0,org.apache.lucene.analysis.shingle,0.5,0,0.877777778,0.990604575,0.988095238,0.070422535,0,org.apache.lucene.analysis.shingle,1,0.146666667,1,0,0
22,org.apache.lucene.analysis.sinks,0,0,0,0,0,6,0,6,0,0,1,0,org.apache.lucene.analysis.sinks,0.5,0,1,0.972222222,0.941176471,0,0,org.apache.lucene.analysis.sinks,1,1,1,0,0
23,org.apache.lucene.analysis.snowball,0,0,0,0,0,3,0,8,0,0,1,0,org.apache.lucene.analysis.snowball,0.333333333,0,1,1,0.965517241,0.222222222,0,org.apache.lucene.analysis.snowball,1,0.333333333,1,0,0
24,org.apache.lucene.analysis.standard,1,0,0,0,0,4,0,4,31,0.114285714,0.885714286,0.1,org.apache.lucene.analysis.standard,0.25,0,1,0.935706422,0.955555556,0.092592593,0,org.apache.lucene.analysis.standard,0.569444444,1,1,0,1
25,org.apache.lucene.analysis.th,0,0,0,0,0,3,0,8,0,0,1,0,org.apache.lucene.analysis.th,0.333333333,0,1,1,1,0.4,0,org.apache.lucene.analysis.th,1,0.571428571,1,0,0
26,org.apache.lucene.ant,0,0,0,0,0,11,0.375,14,0,0,0.625,0,org.apache.lucene.ant,1,0.545454545,1,1,1,0,0,org.apache.lucene.ant,1,0.226190476,1,0,0
