,Package.Name,bugs,majorBugs,criticalBugs,highPriorityBugs,nonTrivialBugs,N,A,Ce,Ca,I,D,Rsw ,PackageName,IC,AC,BCFI,SAVI,NPPI,PPI,MMI,PackageName,IPCI,IIPUD,IIPED,PF,IPSC
2,org.eclipse.mylyn.commons.core,0,0,0,0,0,17,0.214285714,14,24,0.368421053,0.417293233,0,org.eclipse.mylyn.commons.activity.tests,1,0.333333333,1,1,1,0,0,org.eclipse.mylyn.commons.activity.tests,1,0.666666667,1,0,0
3,org.eclipse.mylyn.commons.net,0,0,0,0,0,12,0.333333333,10,9,0.526315789,0.140350877,0,org.eclipse.mylyn.commons.activity.ui,1,0.5,1,1,0.866666667,0,0,org.eclipse.mylyn.commons.activity.ui,0.988505747,0.444444444,1,0,1
4,org.eclipse.mylyn.commons.tests.manual,0,0,0,0,0,4,0,2,0,0,1,0,org.eclipse.mylyn.commons.activity.ui.spi,0.988372093,0.965116279,1,1,1,0,0,org.eclipse.mylyn.commons.activity.ui.spi,0.965517241,1,1,0,1
24,org.eclipse.mylyn.internal.commons.core,2,1,0,1,0,9,0.5,7,6,0.538461538,0.038461538,0.7,org.eclipse.mylyn.commons.core,1,0.674418605,1,0.988730959,0.988095238,0,0,org.eclipse.mylyn.commons.core,0.666666667,1,1,0,1
25,org.eclipse.mylyn.internal.commons.net,0,0,0,0,0,15,0.25,14,3,0.823529412,0.073529412,0,org.eclipse.mylyn.commons.core.io,1,0.714285714,1,0.914115646,1,0,0,org.eclipse.mylyn.commons.core.io,1,0.555555556,1,0,0
26,org.eclipse.mylyn.internal.commons.soap,0,0,0,0,0,1,0,1,0,0,1,0,org.eclipse.mylyn.commons.core.net,1,0.833333333,1,1,1,0,0,org.eclipse.mylyn.commons.core.net,0.885057471,0.5,1,0,1
27,org.eclipse.mylyn.internal.commons.ui,0,0,0,0,0,17,0.133333333,10,4,0.714285714,0.152380952,0,org.eclipse.mylyn.commons.core.operations,1,0.714285714,1,1,1,0,0.015873016,org.eclipse.mylyn.commons.core.operations,0.908045977,0.5,1,0,1
65,org.eclipse.mylyn.internal.monitor.core.collection,0,0,0,0,0,14,0.166666667,7,0,0,0.833333333,0,org.eclipse.mylyn.commons.core.storage,1,0.333333333,1,1,1,0,0.484848485,org.eclipse.mylyn.commons.core.storage,0.988505747,0.75,1,0,1
71,org.eclipse.mylyn.internal.monitor.ui,2,0,0,0,1,14,0.166666667,13,1,0.928571429,0.095238095,0.35,org.eclipse.mylyn.commons.identity.core,1,0.965116279,1,1,1,0,0,org.eclipse.mylyn.commons.identity.core,0.954022989,1,1,0,1
80,org.eclipse.mylyn.internal.provisional.commons.soap,0,0,0,0,0,4,0.333333333,11,0,0,0.666666667,0,org.eclipse.mylyn.commons.identity.core.spi,0.976744186,0.976744186,1,1,1,0,0,org.eclipse.mylyn.commons.identity.core.spi,0.977011494,1,1,0,1
