,Package.Name,bugs,majorBugs,criticalBugs,highPriorityBugs,nonTrivialBugs,N,A,Ce,Ca,I,D,Rsw ,PackageName,IC,AC,BCFI,SAVI,NPPI,PPI,MMI,org.eclipse.pde.core,0.348484848,1,1,0,0
1,org.eclipse.pde.core,1,0,0,0,0,14,13,3,81,0.035714286,12.03571429,0.1,org.eclipse.pde.core,0.893129771,0.893129771,1,0.935818646,1,0,0.183563748,org.eclipse.pde.core.build,0.795454545,1,1,0,0
2,org.eclipse.pde.core.plugin,1,0,0,0,0,25,7.333333333,8,69,0.103896104,6.437229437,0.1,org.eclipse.pde.core.build,1,1,1,0.931344697,1,0,0,org.eclipse.pde.core.plugin,0.462121212,0.583333333,1,0,0
3,org.eclipse.pde.internal.core,41,9,2,0,1,71,0.267857143,34,71,0.323809524,0.408333333,7,org.eclipse.pde.core.plugin,0.984732824,0.580152672,1,0.873712121,1,0,0.054159445,org.eclipse.pde.internal.core,0.431818182,0.077777778,1,0,0
4,org.eclipse.pde.internal.core.ant,0,0,0,0,0,5,0.25,13,0,0,0.75,0,org.eclipse.pde.internal.core,0.938931298,0.442748092,0.959183673,0.968384579,0.976228209,0,0.002876318,org.eclipse.pde.internal.core.ant,1,0.148148148,1,0,0
5,org.eclipse.pde.internal.core.build,2,2,0,0,0,8,0.333333333,7,18,0.28,0.386666667,0.7,org.eclipse.pde.internal.core.ant,1,0,1,0.93,0.904761905,0,0,org.eclipse.pde.internal.core.build,0.863636364,0.307692308,1,0,0
6,org.eclipse.pde.internal.core.builders,9,2,0,0,0,32,0.142857143,26,10,0.722222222,0.134920635,1.4,org.eclipse.pde.internal.core.build,0.875,0.375,0.833333333,0.981770833,0.78125,0,0.033333333,org.eclipse.pde.internal.core.builders,0.924242424,0.082892416,1,0,0
7,org.eclipse.pde.internal.core.bundle,0,0,0,0,0,13,0.3,13,10,0.565217391,0.134782609,0,org.eclipse.pde.internal.core.builders,1,0.34375,1,0.950704849,0.970387244,0.014084507,0,org.eclipse.pde.internal.core.bundle,0.924242424,0.113432836,0.666666667,0,0
8,org.eclipse.pde.internal.core.cheatsheet.comp,0,0,0,0,0,13,0.3,10,1,0.909090909,0.209090909,0,org.eclipse.pde.internal.core.bundle,0.769230769,0.307692308,0.846153846,0.993195266,0.875912409,0.010638298,0,org.eclipse.pde.internal.core.cheatsheet.comp,0.984848485,0.282608696,1,0,0
9,org.eclipse.pde.internal.core.converter,2,0,0,0,0,4,0.333333333,9,4,0.692307692,0.025641026,0.2,org.eclipse.pde.internal.core.cheatsheet.comp,0.923076923,0.230769231,0.916666667,0.979548817,0.780821918,0,0,org.eclipse.pde.internal.core.converter,0.96969697,0.416666667,1,0,0
10,org.eclipse.pde.internal.core.exports,17,5,0,0,2,7,0.166666667,16,3,0.842105263,0.00877193,3.25,org.eclipse.pde.internal.core.converter,1,0.75,1,0.884469697,0.988095238,0,0,org.eclipse.pde.internal.core.exports,0.977272727,0.138888889,1,0,0
